ui,name,mesh_number
D003217,conductometry,"E05.196.922.500, E05.301.160"
D003218,condylomata acuminata,"C01.221.812.640.220, C01.778.640.220, C01.925.256.650.810.217, C01.925.813.220, C01.925.825.810.110, C01.925.928.914.217, C17.800.838.790.810.110"
D003219,confidentiality,"F04.096.544.335.240, I01.880.604.473.650.500, I01.880.604.583.080, N03.706.437.650.124, N03.706.535.230"
D003220,"conflict, psychological",F01.658.209
D003221,confusion,"C10.597.606.337, C23.888.592.604.339, F01.700.250"
D003223,congo,Z01.058.290.100.140
D003224,congo red,"D02.455.426.559.847.638.555.300, D02.886.645.600.080.050.650.250, D04.615.638.555.300"
D003225,"hemorrhagic fever virus, crimean-congo",B04.820.480.750.565.400
D003226,congresses as topic,N03.540.199
D003227,"conjugation, genetic",G05.728.200
D003228,conjunctiva,"A09.371.060.200, A09.371.337.168"
D003229,conjunctival diseases,C11.187
D003230,conjunctival neoplasms,"C04.588.364.235, C11.187.169, C11.319.217"
D003231,conjunctivitis,C11.187.183
D003232,"conjunctivitis, acute hemorrhagic","C01.375.725.250.250, C01.925.325.250.250, C01.925.782.687.359.201, C11.187.183.240.216, C11.294.800.250.250"
D003233,"conjunctivitis, allergic","C11.187.183.200, C20.543.480.200"
D003234,"conjunctivitis, bacterial","C01.150.252.289.225, C01.375.354.220, C11.187.183.220, C11.294.354.220"
D003235,"conjunctivitis, inclusion","C01.150.252.289.225.250, C01.150.252.400.210.125.245, C01.375.354.220.250, C11.187.183.220.250, C11.294.354.220.250"
D003236,"conjunctivitis, viral","C01.375.725.250, C01.925.325.250, C11.187.183.240, C11.294.800.250"
D003237,connecticut,Z01.107.567.875.550.200
D003238,connective tissue,A10.165
D003239,connective tissue cells,A11.329
D003240,connective tissue diseases,C17.300
D003241,consanguinity,"G05.090.403.180, G05.180"
D003242,conscience,"F01.829.500.359, K01.752.566.359"
D003243,consciousness,"F02.463.188.409, F02.830.233"
D003244,consciousness disorders,"C10.597.606.358, C23.888.592.604.359, F01.700.315, F03.615.300"
D003245,consensus development conferences as topic,"L01.178.682.759.150, N03.540.199.205"
D003246,conservation of energy resources,N06.230.080.078
D003247,conservation of natural resources,"J01.256, N06.230.080"
D003248,constipation,C23.888.821.150
D003249,constitution and bylaws,N04.452.150
D003250,constriction,E05.225
D003251,"constriction, pathologic",C23.300.287
D003252,construction materials,J01.637.241
D003253,consultants,M01.120
D003254,consumer advocacy,"I01.880.604.473.368, N03.706.437.368"
D003255,consumer organizations,N03.540.245
D003256,community participation,"N02.421.143.212, N03.540.245.360"
D003257,consumer product safety,N06.850.210
D003258,consumer behavior,F01.145.236
D003259,consummatory behavior,F01.145.113.252
D003260,contact inhibition,G04.383
D003261,contact lenses,E07.632.500.276
D003262,"contact lenses, extended-wear",E07.632.500.276.360.220
D003263,"contact lenses, hydrophilic",E07.632.500.276.360
D003264,containment of biohazards,"E05.235, N06.850.135.060.075.249"
D003265,contingent negative variation,"G07.265.216.500.250, G11.561.200.500.250"
D003266,continuity of patient care,"E02.760.169, N02.421.585.169, N04.590.233.727.210"
D003267,contraception,E02.875.194
D003268,contraception behavior,"F01.145.688.500, G08.686.784.891.500"
D003269,"contraception, immunologic",E02.875.194.300
D003270,contraceptive agents,"D27.505.696.875.360, D27.505.954.705.360"
D003271,"contraceptive agents, female","D27.505.696.875.360.276, D27.505.954.705.360.276"
D003272,"contraceptive agents, male","D27.505.696.875.360.443, D27.505.954.705.360.443"
D003273,contraceptive devices,E07.190
D003274,"contraceptive devices, female",E07.190.250
D003275,"contraceptive devices, male",E07.190.270
D003276,"contraceptives, oral","D27.505.696.875.360.276.210, D27.505.954.705.360.276.210"
D003277,"contraceptives, oral, combined","D26.310.360, D27.505.696.875.360.276.210.100, D27.505.954.705.360.276.210.100"
D003278,"contraceptives, oral, hormonal","D27.505.696.875.360.276.210.277, D27.505.696.875.360.360.500, D27.505.954.705.360.276.210.277, D27.505.954.705.360.360.500"
D003279,"contraceptives, oral, sequential","D27.505.696.875.360.276.210.400, D27.505.954.705.360.276.210.400"
D003280,"contraceptives, oral, synthetic","D27.505.696.875.360.276.210.443, D27.505.954.705.360.276.210.443"
D003281,"contraceptives, postcoital","D27.505.696.875.360.276.310, D27.505.954.705.360.276.310"
D003282,"contraceptives, postcoital, hormonal","D27.505.696.875.360.276.310.235, D27.505.696.875.360.360.750, D27.505.954.705.360.276.310.235, D27.505.954.705.360.360.750"
D003283,"contraceptives, postcoital, synthetic","D27.505.696.875.360.276.310.360, D27.505.954.705.360.276.310.360"
D003284,contract services,N03.219.463.100
D003285,contractile proteins,D12.776.210
D003286,contracture,"C05.550.323, C05.651.197"
D003287,contrast media,"D27.505.259.500, D27.720.259"
D003288,contusions,C26.974.250
D003289,convalescence,C23.550.291.562
D003290,"convergence, ocular",G14.350.217
D003291,conversion disorder,F03.875.300
D003292,convulsants,"D27.505.696.282.224, D27.505.954.427.220.224"
D003294,"seizures, febrile","C10.597.742.571, C23.888.592.742.571"
D003295,convulsive therapy,F04.570.200
D003296,cooking,J01.576.423.200.200
D003297,cooking and eating utensils,"J01.494.300, J01.576.423.200.300, J01.637.370"
D003298,coombs test,"E01.370.225.812.735.050.375.150, E05.200.812.735.050.375.150, E05.478.594.760.050.375.150"
D003299,cooperative behavior,F01.145.813.115
D003300,copper,"D01.268.556.195, D01.268.956.170, D01.552.544.195"
D003301,copper radioisotopes,D01.496.749.270
D003302,coprinus,B01.300.179.100.200
D003303,coprophagia,F01.145.113.547.500
D003304,coproporphyrinogen oxidase,D08.811.682.660.250
D003305,coproporphyrinogens,"D03.383.129.578.840.500.700.250, D03.633.400.909.500.700.250, D04.345.783.500.700.250"
D003306,coproporphyrins,"D03.383.129.578.840.500.250, D03.633.400.909.500.250, D04.345.783.500.250, D23.767.727.250"
D003307,copulation,F01.145.113.252.748.200
D003308,copying processes,L01.280
D003309,copyright,"I01.880.604.583.458.300, L01.737.360, N03.706.535.518.300"
D003310,cor triatriatum,"C14.240.400.200, C14.280.400.200, C16.131.240.400.200"
D003311,cord factors,"D10.390.240, D23.946.123.208"
D003312,coriolis force,G01.482.311
D003313,zea mays,B01.650.940.800.575.912.250.822.966
D003314,corn oil,"D10.212.302.380.370, D10.212.507.340, D10.627.700.240, D20.215.784.750.240, G07.203.300.375.400.250, J02.500.375.400.250"
D003315,cornea,A09.371.060.217
D003316,corneal diseases,C11.204
D003317,"corneal dystrophies, hereditary","C11.204.236, C11.270.162, C16.320.290.162"
D003318,corneal opacity,C11.204.299
D003319,corneal stroma,A09.371.060.217.228
D003320,corneal ulcer,"C01.375.177, C11.204.564.225, C11.294.177"
D003321,cornell medical index,E01.370.510.150
D003323,coronary aneurysm,"C14.280.647.250.250, C14.907.055.395, C14.907.585.250.250"
D003324,coronary artery disease,"C14.280.647.250.260, C14.907.137.126.339, C14.907.585.250.260"
D003325,coronary care units,N02.278.388.493.211
D003326,coronary circulation,G09.330.100.324
D003327,coronary disease,"C14.280.647.250, C14.907.585.250"
D003328,coronary thrombosis,"C14.280.647.250.290, C14.907.355.830.220, C14.907.585.250.290"
D003329,coronary vasospasm,"C14.280.647.250.295, C14.907.585.250.295"
D003330,coronary vessel anomalies,"C14.240.400.210, C14.280.400.210, C16.131.240.400.210"
D003331,coronary vessels,"A07.015.114.269, A07.015.908.194"
D003332,coronaviridae,B04.820.578.500.540
D003333,coronaviridae infections,C01.925.782.600.550
D003334,coroners and medical examiners,"M01.526.485.230, N02.360.230"
D003335,corpora allata,"A08.713.100, A13.250"
D003336,tectum mesencephali,A08.186.211.132.659.800
D003337,corpus callosum,A08.186.211.200.885.800.750
D003338,corpus luteum,"A05.360.319.114.630.278, A06.300.312.497.278"
D003339,corpus luteum hormones,D06.472.334.734
D003340,corpus luteum maintenance,"G08.686.784.690.355.500, G08.686.784.769.520.500"
D003341,luteolysis,G08.686.784.690.380
D003342,corpus striatum,A08.186.211.200.885.287.249.487
D003343,corrosion,G02.165
D003344,cortical synchronization,"E01.370.376.300.437.500, E01.370.405.245.575.500, G07.265.256.249"
D003345,corticosterone,"D04.210.500.745.745.654.237, D06.472.040.585.353.237"
D003346,corticotropin-releasing hormone,"D06.472.699.327.740.140, D12.644.400.400.740.140, D12.644.548.365.740.140, D12.776.631.650.405.740.140"
D003348,cortisone,"D04.210.500.745.745.183, D06.472.040.585.478.195"
D003349,cortisone reductase,D08.811.682.047.820.125.150
D003350,cortodoxone,"D04.210.500.745.745.654.252, D06.472.040.585.478.225"
D003352,corynebacterium,"B03.510.024.250, B03.510.460.400.400.200"
D003353,corynebacterium diphtheriae,"B03.510.024.250.150, B03.510.460.400.400.200.150"
D003354,corynebacterium infections,C01.150.252.410.040.246
D003355,corynebacterium pyogenes,"B03.510.024.250.625, B03.510.460.400.400.200.625"
D003357,cosmetic techniques,E02.218
D003358,cosmetics,"D27.720.269, J01.516.213"
D003359,cosmic radiation,"G01.060.185, G01.750.750.235, G16.500.200, N06.230.300.100.300"
D003360,cosmids,"G05.360.337.500, G05.360.600.250"
D003361,cost allocation,N03.219.151.080
D003362,cost-benefit analysis,N03.219.151.125
D003363,cost control,N03.219.151.160
D003364,costa rica,Z01.107.169.238
D003365,costs and cost analysis,N03.219.151
D003366,cosyntropin,"D06.472.699.327.935.531.500.200, D06.472.699.631.525.600.531.500.200, D12.644.400.400.935.531.500.200, D12.644.548.365.935.531.500.200, D12.644.548.691.525.690.531.500.200, D12.776.631.650.405.935.531.500.200"
D003367,cotinine,D03.383.773.812.180
D003368,gossypium,B01.650.940.800.575.912.250.859.821.500.244
D003369,cottonseed oil,"D10.212.302.380.380, D10.212.507.350, D10.627.700.263, D20.215.784.750.263, G07.203.300.375.400.300, J02.500.375.400.300"
D003370,coturnix,B01.050.150.900.248.350.650.350
D003371,cough,"C08.618.248, C23.888.852.293"
D003372,coumaphos,"D02.705.400.625.120, D02.705.539.345.120, D02.886.300.692.120, D03.383.663.283.446.912.326, D03.633.100.150.446.912.326"
D003373,coumaric acids,D02.241.223.200.210
D003374,coumarins,"D03.383.663.283.446, D03.633.100.150.446"
D003375,coumestrol,"D03.383.663.283.266.450.400.187, D03.383.663.283.446.350, D03.633.100.150.266.450.400.187, D03.633.100.150.446.350"
D003376,counseling,"F02.784.176, F04.408.413, N02.421.143.303, N02.421.461.363"
D003377,countercurrent distribution,"E05.196.181.400.555, E05.196.278"
D003378,counterimmunoelectrophoresis,"E01.370.225.812.735.645.350.350.150, E05.196.401.568.250, E05.200.812.735.645.350.350.150, E05.301.300.568.250, E05.478.594.760.645.350.350.150, E05.478.605.492.350.350.150"
D003379,countertransference,F04.754.720.864.363
D003380,courtship,F01.145.802.279
D003381,coxiella,"B03.440.400.425.297.150, B03.660.250.132.150"
D003384,coxsackievirus infections,C01.925.782.687.359.213
D003386,brachyura,B01.050.500.131.365.190.110
D003387,cracked tooth syndrome,"C07.793.850.750.300, C26.900.750.300"
D003388,"cranial fossa, posterior","A01.456.830.200, A02.835.232.781.750.400"
D003389,cranial nerve diseases,C10.292
D003390,cranial nerve neoplasms,"C04.588.614.300, C04.588.614.596.240, C10.292.225, C10.551.360, C10.551.775.250"
D003391,cranial nerves,A08.800.800.120
D003392,cranial sinuses,A07.015.908.224
D003393,cranial sutures,A02.835.232.781.200
D003394,craniofacial dysostosis,"C05.116.099.370.231, C05.660.207.231, C16.131.621.207.231"
D003395,craniology,I01.076.368.239
D003397,craniopharyngioma,"C04.557.465.625.200, C04.557.580.625.200"
D003398,craniosynostoses,"C05.116.099.370.894.232, C05.660.207.240, C05.660.906.364, C16.131.621.207.240, C16.131.621.906.364"
D003399,craniotomy,E04.525.190
D003400,astacoidea,B01.050.500.131.365.190.070
D003401,creatine,"D02.078.370.280, D12.125.373"
D003402,creatine kinase,D08.811.913.696.640.150
D003404,creatinine,D03.383.129.308.207
D003405,creativity,"F01.752.264, F02.463.785.302"
D003406,credentialing,"N03.706.110, N05.700.200"
D003407,creosote,D02.455.426.559.389.657.239.327
D003408,cresols,D02.455.426.559.389.657.239
D003409,congenital hypothyroidism,"C05.116.099.343.347, C05.116.132.256, C16.320.240.625, C19.297.155, C19.874.482.281"
D003410,cri-du-chat syndrome,"C10.597.606.360.180, C16.131.077.262, C16.131.260.190, C16.320.180.190"
D003411,arvicolinae,B01.050.150.900.649.313.992.635.075
D003412,cricetulus,B01.050.150.900.649.313.992.635.075.250.250
D003413,cricoid cartilage,"A02.165.257.625.211, A02.165.407.500.211, A04.329.591.211"
D003414,crigler-najjar syndrome,"C16.320.565.300.281, C18.452.648.300.281"
D003415,crime,"I01.198.240, I01.880.735.191"
D003416,criminal law,"I01.198.290, I01.880.604.583.100"
D003417,criminal psychology,F02.784.240
D003418,criminology,I01.198
D003419,crisis intervention,F04.754.252
D003420,crisscross heart,"C14.240.400.220, C14.280.400.220, C16.131.240.400.220"
D003421,crithidia,B01.268.475.868.110
D003422,critical care,"E02.760.190, N02.421.585.190"
D003423,"critical period, psychological",F02.463.425.209
D003424,crohn disease,"C06.405.205.731.500, C06.405.469.432.500"
D003425,flurogestone acetate,"D04.210.500.745.745.654.485, D04.210.500.908.550"
D003426,"crop, avian",A13.265
D003427,cross circulation,E05.660.365
D003428,cross infection,"C01.248, C23.550.291.875.500"
D003429,cross reactions,G12.122.281
D003430,cross-sectional studies,"E05.318.372.500.875, N05.715.360.330.500.875, N06.850.520.450.500.875"
D003431,cross-cultural comparison,"I01.076.201.450.281, I01.880.853.100.257"
D003432,cross-linking reagents,D27.720.470.410.210
D003433,"crosses, genetic",E05.393.281
D003434,"crossing over, genetic",G05.728.615.200
D003435,crotalid venoms,"D20.888.850.960.200, D23.946.833.850.960.200"
D003436,croton oil,"D10.212.507.375, D10.627.700.315, D20.215.784.750.315"
D003437,crotonates,"D02.241.081.114.875, D10.251.400.143.687"
D003439,crotoxin,"D20.888.850.960.200.210, D23.946.833.850.960.200.210"
D003440,croup,"C08.360.535.365, C09.400.535.365"
D003441,crowding,F01.145.875.281
D003442,crowns,"E06.780.346.250, E07.695.190.088"
D003444,crush syndrome,"C26.257.500, C26.797.240"
D003445,crustacea,B01.050.500.131.365
D003446,crutches,E07.858.442.281
D003448,crying,"F01.145.209.530.258, F01.525.200.310.300"
D003449,cryoglobulinemia,"C14.907.454.140, C15.378.147.780.243, C15.378.463.515.140, C20.683.780.250"
D003450,cryoglobulins,"D12.776.124.486.485.900.225, D12.776.124.790.651.900.225, D12.776.377.715.548.900.225"
D003451,cryoprotective agents,"D27.505.696.706.320, D27.720.799.180"
D003452,cryosurgery,E04.014.180
D003453,cryptococcosis,C01.150.703.248
D003454,cryptococcus,"B01.300.381.258, B01.300.930.316"
D003455,cryptococcus neoformans,"B01.300.381.258.366, B01.300.930.316.366"
D003456,cryptorchidism,"C12.294.829.258, C12.706.258, C16.131.939.258, C19.391.829.258"
D003457,cryptosporidiosis,"C01.610.432.269, C01.610.701.688.235, C01.610.752.250.269, C01.610.752.625.235, C06.405.469.452.269, C22.674.710.235"
D003458,cryptosporidium,B01.043.075.189.250.150.160
D003459,crystallins,D12.776.306.366
D003460,crystallization,"E05.196.300, G02.171"
D003461,crystallography,"E05.196.309, H01.181.529.240"
D003462,cuba,"Z01.107.084.900.225, Z01.639.880.225"
D003463,cues,F02.463.425.234
D003464,culdoscopy,"E01.370.378.155, E01.370.388.250.160, E04.502.250.160, E04.520.160, E04.950.300.259"
D003465,culex,B01.050.500.131.617.720.500.500.750.712.500.875.225
D003466,cultural characteristics,"I01.076.201.450.324, I01.880.853.100.329"
D003467,cultural deprivation,I01.880.853.100.400
D003468,cultural evolution,I01.076.201.450.370
D003469,culture,"I01.076.201.450, I01.880.853.100"
D003470,culture media,"D27.720.470.305, E07.206"
D003471,cuprizone,D02.455.426.392.368.367.190
D003472,curare,D20.215.784.500.200
D003473,neuromuscular nondepolarizing agents,D27.505.696.663.700.710.575
D003474,curcumin,"D02.455.326.146.485.222.222, D02.455.426.559.389.657.166.200, D02.455.426.559.694.222"
D003475,curettage,E04.157
D003476,curium,"D01.268.271.100.175, D01.268.556.200, D01.496.749.305.100.175, D01.552.020.272, D01.552.544.200"
D003479,curriculum,I02.158
D003480,cushing syndrome,C19.053.800.367
D003481,cuspid,A14.549.167.860.200
D003482,custodial care,"E02.760.215, N02.421.585.215"
D003483,cutis laxa,"C16.320.850.180, C17.300.230, C17.800.827.180"
D003484,cyanamide,"D01.625.400.100.150, D02.491.203.362"
D003485,cyanates,D02.262
D003486,cyanides,"D01.248.497.158.291, D01.625.400.100"
D003487,cyanoacrylates,"D02.241.081.069.366, D02.626.290, D05.750.259, D25.720.259, D25.919.367, J01.637.051.720.259, J01.637.051.919.367"
D003488,cyanogen bromide,"D01.139.300.050.100, D01.625.175"
D003489,cyanoketone,D04.210.500.054.079.429.320
D003490,cyanosis,C23.888.248
D003491,cybernetics,L01.906.099
D003492,cycasin,D02.172.080.200
D003493,cyclacillin,"D02.065.589.099.750.249, D02.886.108.750.249, D03.633.100.300.750.249"
D003494,cyclamates,D02.455.426.392.368.367.204
D003495,cyclandelate,"D02.241.223.475.180, D02.241.511.536.180"
D003496,cyclazocine,"D03.383.113.367, D03.605.168"
D003497,cyclic n-oxides,D03.661.243
D003498,cyclic p-oxides,D03.661.368
D003499,cyclic s-oxides,"D02.886.124, D03.661.493"
D003500,cyclization,"G02.111.180, G02.607.133, G03.208"
D003501,cyclizine,D03.383.606.320
D003503,cyclobutanes,D02.455.426.392.368.201
D003504,ancitabine,"D03.383.742.680.245.453.050, D13.570.065.300.050, D13.570.685.245.453.050"
D003505,cyclodextrins,"D04.345.103, D09.301.915.400.375, D09.698.365.855.400.375"
D003506,cyclofenil,D02.455.426.559.389.657.239.402
D003508,cycloheptanes,D02.455.426.392.368.284
D003509,cyclohexanecarboxylic acids,"D02.241.223.268, D02.455.426.392.368.367.218"
D003510,cyclohexanes,D02.455.426.392.368.367
D003511,cyclohexanols,"D02.033.415.510.500, D02.455.426.392.368.367.318, D10.289.510.500"
D003512,cyclohexanones,"D02.455.426.392.368.367.340, D02.522.400"
D003513,cycloheximide,D03.383.621.808.240
D003514,cyclohexylamines,"D02.092.384, D02.455.426.392.368.367.418"
D003515,cycloleucine,"D02.455.426.392.368.450.350, D12.125.072.170"
D003516,cycloparaffins,"D02.455.426.392.368, D04.345.133"
D003517,cyclopentanes,D02.455.426.392.368.450
D003518,cyclopenthiazide,"D02.886.590.700.135.285, D02.886.655.500.285, D03.633.100.174.285"
D003519,cyclopentolate,D02.241.223.601.200
D003520,cyclophosphamide,"D02.455.526.728.650.730.243, D02.705.672.500.243"
D003521,cyclopropanes,D02.455.426.392.368.533
D003523,cycloserine,"D03.383.129.385.162, D03.383.129.462.600.162, D12.125.154.800.750"
D003524,cyclosporins,"D04.345.566.235, D12.644.641.235"
D003525,cyclosteroids,D04.210.500.294
D003527,cyclothymic disorder,F03.600.500
D003528,"carcinoma, adenoid cystic",C04.557.470.200.025.220
D003529,cymarine,"D04.210.500.155.580.130.750.250, D09.408.180.810.250"
D003530,cyprinidae,B01.050.150.900.493.200.244
D003531,cypriniformes,B01.050.150.900.493.200
D003532,cyprinodontiformes,B01.050.150.900.493.850.280
D003533,cyproheptadine,"D02.455.426.559.847.181.384.340, D03.383.621.160, D04.615.181.384.340"
D003534,cyproterone,"D04.210.500.745.432.219, D04.210.500.883.419"
D003535,cyprus,"Z01.542.580.500.300, Z01.639.640.300"
D003536,cystadenocarcinoma,"C04.557.470.200.025.480, C04.557.470.590.480"
D003537,cystadenoma,"C04.557.470.035.320, C04.557.470.590.485"
D003538,cystamine,D02.092.471.200
D003539,cystaphos,"D02.705.400.625.130, D02.705.539.345.130, D02.886.300.692.130"
D003540,cystathionine,"D02.886.030.175, D12.125.095.307, D12.125.119.307, D12.125.166.175"
D003541,cystathionine beta-synthase,D08.811.520.241.300.200
D003542,cystathionine gamma-lyase,D08.811.520.300.250
D003543,cysteamine,"D02.092.471.562.369, D02.886.489.472.369"
D003544,cysteic acid,"D02.886.030.215, D12.125.166.215"
D003545,cysteine,"D02.886.030.230, D02.886.489.155, D12.125.154.299, D12.125.166.230"
D003546,cysteine endopeptidases,"D08.811.277.656.262.500, D08.811.277.656.300.200"
D003547,cysteine synthase,D08.811.913.225.224
D003548,cysteinyldopa,"D02.092.311.200.180, D02.455.426.559.389.657.166.175.200.180, D02.886.030.230.330, D12.125.072.050.685.400.180, D12.125.072.050.875.130.180, D12.125.166.230.330"
D003549,cystic duct,A03.159.183.079.450
D003550,cystic fibrosis,"C06.689.202, C08.381.187, C16.320.190, C16.614.213"
D003551,cysticercosis,C01.610.335.190.902.185
D003552,cysticercus,B01.050.500.500.736.215.895.286
D003553,cystine,"D01.248.497.158.874.390.369, D01.875.350.850.150.369, D02.886.030.230.369, D02.886.520.150.087, D12.125.095.369, D12.125.119.369, D12.125.166.230.369"
D003554,cystinosis,"C16.320.565.595.377, C18.452.648.595.377"
D003555,cystinuria,"C12.777.419.815.885.250, C13.351.968.419.815.885.250, C16.320.831.885.250"
D003556,cystitis,"C12.777.829.495, C13.351.968.829.495"
D003557,phyllodes tumor,C04.557.450.795.650
D003558,cystoscopy,"E01.370.388.250.180, E01.370.390.175, E04.502.250.180, E04.950.774.155"
D003559,cystostomy,"E04.579.240, E04.950.774.852.240"
D003560,cysts,"C04.182, C23.300.306"
D003561,cytarabine,"D03.383.742.680.245.453, D13.570.065.300, D13.570.685.245.453"
D003562,cytidine,"D03.383.742.680.245, D13.570.685.245, D13.570.800.286"
D003563,cyclic cmp,"D03.383.742.686.246.115, D13.695.462.250, D13.695.740.246.115, D13.695.827.232.115"
D003564,cytidine deaminase,D08.811.277.151.486.250
D003565,cytidine diphosphate,"D03.383.742.686.246.150, D13.695.740.246.150, D13.695.827.232.150"
D003566,cytidine diphosphate choline,"D02.092.877.883.333.130, D02.675.276.232.130, D03.383.742.686.246.150.180, D13.695.740.246.150.180, D13.695.827.232.150.180"
D003567,cytidine diphosphate diglycerides,"D03.383.742.686.246.150.210, D09.408.620.569.200, D13.695.740.246.150.210, D13.695.827.232.150.210, D13.695.827.708.260"
D003568,cytidine monophosphate,"D03.383.742.686.246.370, D13.695.740.246.370, D13.695.827.232.370"
D003569,cytidine monophosphate n-acetylneuraminic acid,"D02.241.081.844.562.668.250, D02.241.511.902.562.668.250, D03.383.742.686.246.370.250, D09.067.687.668.250, D09.811.589.668.250, D13.695.740.246.370.250, D13.695.827.232.370.250"
D003570,cytidine triphosphate,"D03.383.742.686.246.400, D13.695.740.246.400, D13.695.827.232.400"
D003571,cytochalasin b,"D03.633.100.473.231.370, D23.946.587.370.370"
D003572,cytochalasins,"D03.633.100.473.231, D23.946.587.370"
D003573,cytochrome b group,"D08.244.187, D12.776.422.220.187"
D003574,cytochrome c group,"D08.244.286, D12.776.422.220.286"
D003575,cytochromes c1,"D08.244.286.200, D12.776.422.220.286.200"
D003576,electron transport complex iv,"D05.500.562.374, D08.811.600.250.687, D08.811.682.285, D12.776.157.530.450.250.875.304, D12.776.543.277.687, D12.776.543.585.450.250.875.484"
D003577,cytochrome p-450 enzyme system,"D08.244.453, D08.811.682.690.708.170, D12.776.422.220.453"
D003578,cytochrome-c peroxidase,D08.811.682.732.380
D003579,cytochrome reductases,D08.811.682.608.191
D003580,cytochromes,"D08.244, D12.776.422.220"
D003581,cytodiagnosis,"E01.370.225.500.384, E05.200.500.384, E05.242.384"
D003582,cytogenetics,H01.158.273.343.180
D003583,cytokinins,D03.633.100.759.138.525
D003584,cytological techniques,"E01.370.225.500, E05.200.500, E05.242"
D003585,cell biology,"H01.158.100.433, H01.158.273.160"
D003586,cytomegalovirus infections,C01.925.256.466.245
D003587,cytomegalovirus,B04.280.382.150.150
D003588,"cytopathogenic effect, viral","E01.370.225.500.384.235, E05.200.500.384.235, E05.242.384.235, G06.920.190"
D003589,cytophaga,"B03.440.080.130.150, B03.440.400.425.300.150"
D003592,cytophotometry,"E01.370.225.500.386, E05.196.712.516.600.240, E05.200.500.386, E05.242.386"
D003593,cytoplasm,A11.284.430.214
D003594,cytoplasmic granules,"A11.284.430.214.190.500, A11.284.430.214.190.875.190.190"
D003595,cytoplasmic streaming,"G03.143.355, G04.392"
D003596,cytosine,D03.383.742.698.421
D003597,cytosine nucleotides,"D03.383.742.686.246, D13.695.740.246, D13.695.827.232"
D003598,cytoskeletal proteins,D12.776.220
D003599,cytoskeleton,A11.284.430.214.190.750
D003600,cytosol,"A11.284.430.214.200, A11.284.430.429.200, A11.284.835.450.200"
D003601,"cytotoxicity tests, immunologic","E01.370.225.812.160, E05.200.812.160, E05.478.594.160, E05.940.245"
D003602,"cytotoxicity, immunologic",G12.287
D003603,cytotoxins,D27.888.569.213
D003604,czechoslovakia,Z01.586.250
D003605,d-amino-acid oxidase,D08.811.682.664.500.125
D003606,dacarbazine,"D02.925.200, D03.383.129.308.240"
D003607,dacryocystitis,C11.496.221
D003608,dacryocystorhinostomy,"E04.540.255, E04.579.255"
D003609,dactinomycin,"D03.633.300.200, D04.345.566.252, D12.644.641.252"
D003610,dagestan,Z01.542.248.775.310
D003611,dairy products,"G07.203.300.350, J02.500.350"
D003612,dairying,J01.040.246
D003613,danazol,D04.210.500.745.432.235
D003614,dance therapy,"E02.190.888.374, E02.760.169.063.500.230, E02.779.474.186, E02.831.230, F04.754.278"
D003615,dancing,I03.450.642.287
D003616,dandy-walker syndrome,"C10.228.140.252.300, C10.228.140.602.500, C10.500.205, C16.131.666.205"
D003617,dangerous behavior,"F01.145.263, I01.880.735.223"
D003619,dansyl compounds,"D02.455.426.559.847.638.204, D02.886.590.192, D04.615.638.204"
D003620,dantrolene,D03.383.129.308.432.555.287
D003621,daphnia,B01.050.500.131.365.150.200
D003622,dapsone,D02.886.590.263
D003623,dark adaptation,G14.020.371
D003624,darkness,G01.590.540.233
D003625,data collection,"E05.318.308, L01.399.250, N05.715.360.300, N06.850.520.308"
D003626,data display,"F02.784.412.221, L01.296"
D003627,"data interpretation, statistical","E05.245.380, E05.318.740.300, L01.313.500.750.190.380, N05.715.360.750.300, N06.850.520.830.300"
D003628,database management systems,"L01.224.068, L01.224.900.280, N04.452.515.110"
D003629,modems,"L01.178.847.698.500, L01.224.230.260.115.750"
D003630,daunorubicin,"D02.455.426.559.847.562.050.200, D04.615.562.050.200, D09.408.051.059.200"
D003631,"day care, medical","E02.760.246, N02.421.585.246"
D003632,dichlorodiphenyldichloroethane,D02.455.526.439.294
D003633,dichlorodiphenyl dichloroethylene,D02.455.526.439.292
D003634,ddt,D02.455.526.439.255
D003635,de lange syndrome,"C10.597.606.360.210, C16.131.077.272, C16.131.260.210, C16.320.180.210"
D003636,deae-cellulose,D09.698.365.180.247
D003637,deae-dextran,D09.698.365.272.250
D003638,deafness,"C09.218.458.341.186, C10.597.751.418.341.186, C23.888.592.763.393.341.186"
D003639,"hearing loss, sudden","C09.218.458.341.900, C10.597.751.418.341.900, C23.888.592.763.393.341.900"
D003640,dealkylation,"G02.111.188, G02.607.141, G03.219"
D003641,deamination,"G02.111.192, G02.607.157, G03.222"
D003642,deanol,"D02.033.100.291.274, D02.092.063.291.274"
D003643,death,C23.550.260
D003644,death certificates,"E05.318.308.940.350, L01.399.250.900.350, N04.452.859.264, N05.715.360.300.715.315, N06.850.520.308.940.350"
D003645,"death, sudden",C23.550.260.322
D003646,debridement,E04.176
D003647,debrisoquin,D03.633.100.531.205
D003648,decalcification technique,"E01.370.225.750.288, E05.200.750.288"
D003649,"decalcification, pathologic","C05.116.198.247.400, C18.452.104.247.400, C18.452.174.289"
D003650,decamethonium compounds,"D02.092.877.250.372, D02.675.276.558.372"
D003651,decanoates,D10.251.175.200
D003652,decanoic acids,D10.251.175
D003653,decarboxylation,"G02.111.195, G02.607.188, G03.225"
D003654,deceleration,G01.482.107.373
